"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Var.10","Opposition","Ground","Start Date","Var.14","result"
"1","0*","8","5","0","0","0.00","11","not out","1","","v Pakistan","Delhi","6 Jan 2013","ODI # 3316","won"
"2","DNB","-","-","-","-","-","-","-","1","","v England","Kochi","15 Jan 2013","ODI # 3320","won"
"3","DNB","-","-","-","-","-","-","-","2","","v England","Ranchi","19 Jan 2013","ODI # 3322","won"
"4","DNB","-","-","-","-","-","-","-","2","","v England","Mohali","23 Jan 2013","ODI # 3327","won"
"5","1","12","6","0","0","16.66","10","caught","1","","v England","Dharamsala","27 Jan 2013","ODI # 3329","lost"
"6","0","2","1","0","0","0.00","9","bowled","2","","v Sri Lanka","Kingston","2 Jul 2013","ODI # 3382","lost"
"7","DNB","-","-","-","-","-","-","-","2","","v Zimbabwe","Harare","24 Jul 2013","ODI # 3395","won"
"8","6*","3","1","0","1","600.00","10","not out","1","","v Zimbabwe","Harare","26 Jul 2013","ODI # 3397","won"
"9","DNB","-","-","-","-","-","-","-","2","","v Zimbabwe","Harare","28 Jul 2013","ODI # 3399","won"
"10","DNB","-","-","-","-","-","-","-","2","","v Zimbabwe","Bulawayo","1 Aug 2013","ODI # 3402","won"
"11","DNB","-","-","-","-","-","-","-","2","","v Zimbabwe","Bulawayo","3 Aug 2013","ODI # 3403","won"
"12","DNB","-","-","-","-","-","-","-","2","","v Australia","Ranchi","23 Oct 2013","ODI # 3422","n/r"
"13","DNB","-","-","-","-","-","-","-","2","","v Australia","Nagpur","30 Oct 2013","ODI # 3424","won"
"14","DNB","-","-","-","-","-","-","-","1","","v Australia","Bengaluru","2 Nov 2013","ODI # 3428","won"
"15","DNB","-","-","-","-","-","-","-","2","","v West Indies","Kochi","21 Nov 2013","ODI # 3436","won"
"16","DNB","-","-","-","-","-","-","-","1","","v West Indies","Visakhapatnam","24 Nov 2013","ODI # 3437","lost"
"17","DNB","-","-","-","-","-","-","-","2","","v West Indies","Kanpur","27 Nov 2013","ODI # 3439","won"
"18","0","3","4","0","0","0.00","11","caught","2","","v South Africa","Johannesburg","5 Dec 2013","ODI # 3442","lost"
"19","8","21","14","0","0","57.14","9","bowled","2","","v South Africa","Durban","8 Dec 2013","ODI # 3443","lost"
"20","TDNB","-","-","-","-","-","-","-","-","","v South Africa","Centurion","11 Dec 2013","ODI # 3444","n/r"
"21","7*","4","4","1","0","175.00","11","not out","2","","v New Zealand","Napier","19 Jan 2014","ODI # 3456","lost"
