"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Var.10","Opposition","Ground","Start Date","Var.14","result"
"1","100*","176","115","7","1","86.95","1","not out","2","","v Zimbabwe","Harare","11 Jun 2016","ODI # 3742","won"
"2","33","66","50","4","0","66.00","1","bowled","2","","v Zimbabwe","Harare","13 Jun 2016","ODI # 3744","won"
"3","63*","99","70","4","2","90.00","1","not out","2","","v Zimbabwe","Harare","15 Jun 2016","ODI # 3746","won"
"4","8","28","18","1","0","44.44","1","bowled","2","","v England","Pune","15 Jan 2017","ODI # 3819","won"
"5","5","11","5","1","0","100.00","1","caught","1","","v England","Cuttack","19 Jan 2017","ODI # 3821","won"
"6","11","28","11","1","1","100.00","2","caught","2","","v England","Kolkata","22 Jan 2017","ODI # 3824","lost"
"7","DNB","-","-","-","-","-","-","-","2","","v Sri Lanka","Dambulla","20 Aug 2017","ODI # 3905","won"
"8","4","-","6","0","0","66.66","3","bowled","2","","v Sri Lanka","Pallekele","24 Aug 2017","ODI # 3906","won"
"9","17","-","24","2","0","70.83","4","caught","2","","v Sri Lanka","Pallekele","27 Aug 2017","ODI # 3907","won"
"10","7","-","8","0","0","87.50","5","caught","1","","v Sri Lanka","Colombo (RPS)","31 Aug 2017","ODI # 3908","won"
